Model,Fold,Label,F1_micro,F1_macro,Precision,Recall,FPR,FNR,TPR,TNR,TP,FP,FN,TN,Threshold
XLM-RoBERTa,1,PoliceReform,0.42857142857142855,0.21191215331445679,0.6597938144329897,0.6095238095238096,0.02997275204359673,0.3904761904761905,0.6095238095238096,0.9700272479564033,64,33,41,1068,0.5
XLM-RoBERTa,1,Operations_PatrolsInterventions,0.42857142857142855,0.21191215331445679,0.8,0.6666666666666666,0.004251700680272109,0.3333333333333333,0.6666666666666666,0.9957482993197279,20,5,10,1171,0.5
XLM-RoBERTa,1,StateAdministration,0.42857142857142855,0.21191215331445679,0.6,0.06818181818181818,0.0017211703958691911,0.9318181818181818,0.06818181818181818,0.9982788296041308,3,2,41,1160,0.5
XLM-RoBERTa,1,RefugeeAssistance,0.42857142857142855,0.21191215331445679,0.0,0.0,0.0,1.0,0.0,1.0,0,0,20,1186,0.5
XLM-RoBERTa,1,ElectionAssistance,0.42857142857142855,0.21191215331445679,0.0,0.0,0.0,1.0,0.0,1.0,0,0,22,1184,0.5
XLM-RoBERTa,1,LegalReform,0.42857142857142855,0.21191215331445679,0.0,0.0,0.0,1.0,0.0,1.0,0,0,26,1180,0.5
XLM-RoBERTa,1,CivilSocietyAssistance,0.42857142857142855,0.21191215331445679,0.0,0.0,0.0,1.0,0.0,1.0,0,0,32,1174,0.5
XLM-RoBERTa,2,PoliceReform,0.35175879396984927,0.19062901351016598,0.5714285714285714,0.49523809523809526,0.035422343324250684,0.5047619047619047,0.49523809523809526,0.9645776566757494,52,39,53,1062,0.5
XLM-RoBERTa,2,Operations_PatrolsInterventions,0.35175879396984927,0.19062901351016598,0.7142857142857143,0.5,0.00510204081632653,0.5,0.5,0.9948979591836735,15,6,15,1170,0.5
XLM-RoBERTa,2,StateAdministration,0.35175879396984927,0.19062901351016598,0.0,0.0,0.0,1.0,0.0,1.0,0,0,44,1162,0.5
XLM-RoBERTa,2,RefugeeAssistance,0.35175879396984927,0.19062901351016598,0.0,0.0,0.0,1.0,0.0,1.0,0,0,20,1186,0.5
XLM-RoBERTa,2,ElectionAssistance,0.35175879396984927,0.19062901351016598,1.0,0.08695652173913043,0.0,0.9130434782608695,0.08695652173913043,1.0,2,0,21,1183,0.5
XLM-RoBERTa,2,LegalReform,0.35175879396984927,0.19062901351016598,0.0,0.0,0.0,1.0,0.0,1.0,0,0,26,1180,0.5
XLM-RoBERTa,2,CivilSocietyAssistance,0.35175879396984927,0.19062901351016598,0.25,0.03125,0.002555366269165247,0.96875,0.03125,0.9974446337308348,1,3,31,1171,0.5
XLM-RoBERTa,3,PoliceReform,0.3315508021390374,0.08946608946608947,0.6666666666666666,0.5904761904761905,0.028181818181818183,0.4095238095238095,0.5904761904761905,0.9718181818181818,62,31,43,1069,0.5
XLM-RoBERTa,3,Operations_PatrolsInterventions,0.3315508021390374,0.08946608946608947,0.0,0.0,0.0,1.0,0.0,1.0,0,0,31,1174,0.5
XLM-RoBERTa,3,StateAdministration,0.3315508021390374,0.08946608946608947,0.0,0.0,0.0,1.0,0.0,1.0,0,0,43,1162,0.5
XLM-RoBERTa,3,RefugeeAssistance,0.3315508021390374,0.08946608946608947,0.0,0.0,0.0,1.0,0.0,1.0,0,0,21,1184,0.5
XLM-RoBERTa,3,ElectionAssistance,0.3315508021390374,0.08946608946608947,0.0,0.0,0.0,1.0,0.0,1.0,0,0,22,1183,0.5
