Model,Fold,Label,F1_micro,F1_macro,Precision,Recall,FPR,FNR,TPR,TNR,TP,FP,FN,TN,Threshold
XLM-RoBERTa-improved,1,PoliceReform,0.5102639296187683,0.5020171498539436,0.5294117647058824,0.7714285714285715,0.0653950953678474,0.22857142857142856,0.7714285714285715,0.9346049046321526,81,72,24,1029,0.8500000000000001
XLM-RoBERTa-improved,1,Operations_PatrolsInterventions,0.5102639296187683,0.5020171498539436,0.6875,0.7333333333333333,0.008503401360544218,0.26666666666666666,0.7333333333333333,0.9914965986394558,22,10,8,1166,0.8500000000000001
XLM-RoBERTa-improved,1,StateAdministration,0.5102639296187683,0.5020171498539436,0.6551724137931034,0.4318181818181818,0.008605851979345954,0.5681818181818182,0.4318181818181818,0.9913941480206541,19,10,25,1152,0.9000000000000001
XLM-RoBERTa-improved,1,RefugeeAssistance,0.5102639296187683,0.5020171498539436,0.14285714285714285,0.6,0.06070826306913996,0.4,0.6,0.93929173693086,12,72,8,1114,0.5
XLM-RoBERTa-improved,1,ElectionAssistance,0.5102639296187683,0.5020171498539436,0.5862068965517241,0.7727272727272727,0.010135135135135136,0.22727272727272727,0.7727272727272727,0.9898648648648649,17,12,5,1172,0.8500000000000001
XLM-RoBERTa-improved,1,LegalReform,0.5102639296187683,0.5020171498539436,0.5789473684210527,0.4230769230769231,0.006779661016949152,0.5769230769230769,0.4230769230769231,0.9932203389830508,11,8,15,1172,0.8500000000000001
XLM-RoBERTa-improved,1,CivilSocietyAssistance,0.5102639296187683,0.5020171498539436,0.21052631578947367,0.375,0.03833049403747871,0.625,0.375,0.9616695059625213,12,45,20,1129,0.7500000000000001
XLM-RoBERTa-improved,2,PoliceReform,0.5494137353433836,0.5011502334162047,0.576,0.6857142857142857,0.048138056312443236,0.3142857142857143,0.6857142857142857,0.9518619436875567,72,53,33,1048,0.9000000000000001
XLM-RoBERTa-improved,2,Operations_PatrolsInterventions,0.5494137353433836,0.5011502334162047,0.6451612903225806,0.6666666666666666,0.00935374149659864,0.3333333333333333,0.6666666666666666,0.9906462585034014,20,11,10,1165,0.9000000000000001
XLM-RoBERTa-improved,2,StateAdministration,0.5494137353433836,0.5011502334162047,0.5531914893617021,0.5909090909090909,0.018072289156626505,0.4090909090909091,0.5909090909090909,0.9819277108433735,26,21,18,1141,0.8500000000000001
XLM-RoBERTa-improved,2,RefugeeAssistance,0.5494137353433836,0.5011502334162047,0.2857142857142857,0.1,0.0042158516020236085,0.9,0.1,0.9957841483979764,2,5,18,1181,0.7500000000000001
XLM-RoBERTa-improved,2,ElectionAssistance,0.5494137353433836,0.5011502334162047,0.75,0.6521739130434783,0.00422654268808115,0.34782608695652173,0.6521739130434783,0.9957734573119188,15,5,8,1178,0.9000000000000001
XLM-RoBERTa-improved,2,LegalReform,0.5494137353433836,0.5011502334162047,0.2641509433962264,0.5384615384615384,0.03305084745762712,0.46153846153846156,0.5384615384615384,0.9669491525423729,14,39,12,1141,0.7000000000000001
XLM-RoBERTa-improved,2,CivilSocietyAssistance,0.5494137353433836,0.5011502334162047,0.4411764705882353,0.46875,0.016183986371379896,0.53125,0.46875,0.9838160136286201,15,19,17,1155,0.9000000000000001
XLM-RoBERTa-improved,3,PoliceReform,0.5255972696245734,0.4888376549753789,0.5847457627118644,0.6571428571428571,0.04454545454545455,0.34285714285714286,0.6571428571428571,0.9554545454545454,69,49,36,1051,0.8
XLM-RoBERTa-improved,3,Operations_PatrolsInterventions,0.5255972696245734,0.4888376549753789,0.6388888888888888,0.7419354838709677,0.011073253833049404,0.25806451612903225,0.7419354838709677,0.9889267461669506,23,13,8,1161,0.6500000000000001
XLM-RoBERTa-improved,3,StateAdministration,0.5255972696245734,0.4888376549753789,0.75,0.3488372093023256,0.004302925989672977,0.6511627906976745,0.3488372093023256,0.995697074010327,15,5,28,1157,0.9000000000000001
XLM-RoBERTa-improved,3,RefugeeAssistance,0.5255972696245734,0.4888376549753789,0.14,0.3333333333333333,0.036317567567567564,0.6666666666666666,0.3333333333333333,0.9636824324324325,7,43,14,1141,0.5
XLM-RoBERTa-improved,3,ElectionAssistance,0.5255972696245734,0.4888376549753789,0.6923076923076923,0.8181818181818182,0.006762468300929839,0.18181818181818182,0.8181818181818182,0.9932375316990701,18,8,4,1175,0.8500000000000001
XLM-RoBERTa-improved,3,LegalReform,0.5255972696245734,0.4888376549753789,0.23529411764705882,0.15384615384615385,0.01102629346904156,0.8461538461538461,0.15384615384615385,0.9889737065309584,4,13,22,1166,0.7500000000000001
